,pol_lat,pol_lon,Cluster
605,39.04373333,-76.990695,2
606,39.08271181,-76.95772461,2
606,39.08158,-76.9411665,2
606,39.08166168,-76.94116653,2
606,39.05348,-76.96282667,2
606,39.08924,-76.93688167,2
606,39.08235167,-76.93064833,2
606,39.0898957,-76.93951767,2
606,39.08503,-76.94039,2
606,39.08281167,-76.94338333,2
606,39.08392333,-76.94134,2
606,39.08388,-76.94132667,2
606,39.08397167,-76.941205,2
606,39.085195,-76.94043167,2
606,39.08421833,-76.94072667,2
606,39.08444,-76.94055333,2
606,39.08729238,-76.93620712,2
606,39.08774667,-76.93645167,2
606,39.088662,-76.93069983,2
606,39.08808667,-76.94261333,2
606,39.09682116,-76.94100633,2
607,39.15084167,-77.0625,1
607,39.09921167,-77.04780167,1
607,39.08309167,-77.094095,1
607,39.10048364,-77.05117623,1
607,39.10058167,-77.05125,1
607,39.10061233,-77.05129233,1
607,39.10093333,-77.05163833,1
607,39.10083,-77.05161667,1
607,39.09466667,-77.07852833,1
607,39.10160867,-77.05728,1
607,39.06504738,-77.04776557,1
607,39.10083667,-77.05160667,1
607,38.99979333,-77.111805,1
607,39.07368167,-77.00630333,2
607,39.08512167,-77.078655,1
607,39.143935,-77.066705,1
607,39.092455,-77.04575667,1
607,39.14935167,-77.06648333,1
608,38.96006833,-77.087855,1
608,38.992005,-77.09688333,1
608,38.98640773,-77.08488444,1
608,38.98237667,-77.099895,1
608,38.99611333,-77.040295,2
608,38.98533882,-77.09436824,1
608,39.03117167,-77.15905167,1
608,38.9792094,-77.09159687,1
608,38.99980833,-77.11114,1
608,38.98101715,-77.01033378,2
608,38.98600167,-77.09924833,1
608,39.00496667,-77.09632667,1
608,38.98911835,-77.09532385,1
608,39.072055,-77.13418333,1
608,39.02636783,-77.12876083,1
608,38.99194433,-77.09801817,1
609,38.9772414,-77.104139,1
609,39.033735,-77.07461333,1
609,38.99420667,-77.05340833,1
609,39.2746,-77.21505333,0
609,38.97984534,-77.10221171,1
609,39.02569,-77.20216333,0
609,38.97955317,-77.09853649,1
609,38.96300833,-77.09146,1
609,38.98052833,-77.09147,1
609,38.98366667,-77.09905,1
609,39.00101833,-77.08166833,1
609,38.99086,-77.10294833,1
609,38.98719199,-77.02869005,2
609,39.16473333,-77.22469667,0
609,38.99124667,-77.09745,1
609,38.9953725,-77.09629583,1
609,38.98420167,-77.091565,1
609,38.99535,-77.09625333,1
609,38.99423833,-77.09652,1
609,38.995425,-77.09663833,1
609,38.99533,-77.09643,1
609,38.99569,-77.09645333,1
609,39.046385,-77.11255,1
609,38.99738167,-77.10942667,1
609,39.071,-77.13099,1
609,38.957325,-77.11094,1
609,38.98976667,-77.09832833,1
610,39.28816,-77.20830167,0
610,39.20122349,-77.24893642,0
610,39.183033,-77.29010017,0
610,39.18546895,-77.23644592,0
610,39.183665,-77.26336333,0
610,39.17865013,-77.26749346,0
610,39.17837255,-77.23842502,0
610,39.19231846,-77.24270582,0
610,39.184675,-77.26217833,0
610,39.08579833,-77.171585,0
610,39.19445333,-77.24567667,0
610,39.1861775,-77.23146267,0
610,39.18604231,-77.22552225,0
610,39.19296,-77.23973333,0
610,39.22303833,-77.20699167,0
610,39.18786833,-77.22962,0
610,39.20008667,-77.24855167,0
610,39.18377833,-77.26286167,0
610,39.18255923,-77.25910367,0
610,39.21197667,-77.24848,0
610,39.19205333,-77.24449,0
610,39.18402333,-77.263295,0
610,39.18407,-77.263435,0
610,39.19612068,-77.24686998,0
610,39.191281,-77.246213,0
610,39.18805167,-77.24081167,0
610,39.14506483,-77.292544,0
610,39.18241167,-77.24234333,0
610,39.1881306,-77.2338028,0
610,39.23618667,-77.160955,0
610,39.153323,-77.23108883,0
611,39.07781167,-76.94286,2
611,39.05836833,-76.968125,2
611,39.074685,-76.950645,2
612,38.99364667,-77.05222167,1
612,38.98142833,-77.09635,1
612,38.99156167,-77.09568,1
612,39.23302167,-77.1423,0
612,39.01864031,-77.12097041,1
612,38.99337793,-77.09704814,1
612,38.98945007,-77.09117746,1
612,38.99007513,-77.09048403,1
612,38.98066667,-77.09094,1
612,38.98353333,-77.09298667,1
612,39.02132667,-77.13746333,1
612,38.99256,-77.09687167,1
612,39.00655583,-77.0970995,1
612,38.98999333,-77.09695,1
612,38.988945,-77.08876833,1
612,38.98260367,-77.09293467,1
612,38.991905,-77.09809333,1
